Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,year,cost_rank
96,Bosnia And Herzegovina,36.1,6.8,22.4,31.1,25.3,44.1,2022,96
97,Indonesia,35.9,9.8,23.6,38.3,17.7,21.1,2022,97
99,Albania,35.5,8.5,22.8,29.3,25.8,30.2,2022,99
100,Mexico,35.3,12.6,24.7,34.8,32.7,38.6,2022,100
101,Russia,35.3,13.1,24.9,29.9,34.6,37.4,2022,100
102,Romania,35.2,10.2,23.5,31.4,30.0,48.1,2022,102
103,Bolivia,34.8,10.2,23.2,31.3,25.0,36.0,2022,103
105,Argentina,34.7,7.7,22.0,28.2,33.3,30.7,2022,104
107,Iraq,34.5,10.6,23.3,30.5,28.3,40.9,2022,107
108,Kenya,33.9,8.7,22.1,31.3,28.8,32.2,2022,108
109,Armenia,33.9,11.6,23.4,27.6,30.5,28.9,2022,108
110,Morocco,33.8,9.0,22.2,30.6,24.5,34.4,2022,110
112,Brazil,33.2,8.3,21.5,28.2,25.2,27.8,2022,112
113,Bangladesh,33.1,4.4,19.7,30.4,21.7,25.3,2022,113
115,Tanzania,32.8,12.4,23.2,30.0,24.9,16.0,2022,115
116,Peru,32.5,11.2,22.5,30.7,21.5,28.2,2022,116
118,North Macedonia,31.4,6.1,19.5,27.0,21.0,35.4,2022,118
119,Sri Lanka,31.3,8.2,20.5,37.7,17.3,19.3,2022,119
120,Belarus,30.9,9.8,21.0,27.2,31.6,31.8,2022,120
121,Ukraine,30.7,10.6,21.3,26.3,25.7,37.2,2022,121
122,Nigeria,30.5,36.0,33.1,33.7,20.9,9.3,2022,122
123,Moldova,30.3,8.7,20.2,25.0,27.1,33.4,2022,123
125,Georgia,30.2,9.3,20.4,26.4,27.9,31.1,2022,124
126,Azerbaijan,29.7,7.9,19.5,26.6,26.7,27.3,2022,126
127,Egypt,29.5,5.8,18.4,27.4,23.4,21.5,2022,127
129,Kazakhstan,28.7,9.4,19.7,25.3,27.2,32.2,2022,129
130,Turkey,28.3,6.6,18.2,22.6,18.4,32.9,2022,130
131,Nepal,28.3,4.0,16.9,26.4,20.4,23.0,2022,130
132,Tunisia,27.9,5.3,17.3,27.4,16.0,27.8,2022,132
135,Algeria,26.9,4.6,16.4,28.8,14.5,24.6,2022,135
136,Colombia,26.7,8.2,18.0,23.5,19.4,28.9,2022,136
137,India,24.4,5.3,15.5,26.4,17.6,49.7,2022,137
139,Pakistan,19.9,3.9,12.4,17.8,15.5,26.6,2022,139
2,Switzerland,114.2,50.2,83.5,113.9,109.5,118.7,2023,2
4,Bahamas,90.9,39.6,66.3,74.1,94.8,43.2,2023,4
6,Norway,88.6,30.9,60.9,81.8,90.6,95.0,2023,6
7,Singapore,85.9,85.3,85.6,74.0,58.4,95.6,2023,7
8,Iceland,83.3,36.7,61.0,78.3,86.9,90.1,2023,8
10,Denmark,78.6,30.4,55.5,62.4,91.9,105.0,2023,10
11,Israel,76.4,30.4,54.4,63.8,85.0,80.5,2023,11
13,Australia,75.3,39.0,57.9,73.3,66.2,110.9,2023,13
14,Luxembourg,73.2,48.3,61.3,67.0,78.9,127.1,2023,14
15,New Zealand,72.9,31.9,53.2,69.4,69.7,93.0,2023,15
16,United States,72.4,47.1,60.3,71.4,70.8,115.7,2023,16
18,Ireland,70.5,44.4,58.0,55.8,71.9,82.6,2023,18
19,South Korea,70.4,17.5,45.0,87.5,37.6,85.5,2023,19
21,France,68.7,24.6,47.5,65.1,66.9,86.2,2023,21
22,Netherlands,68.6,33.4,51.7,57.4,67.6,107.8,2023,22
23,Finland,67.5,22.7,46.0,58.2,70.4,98.8,2023,23
24,Puerto Rico,67.0,23.2,46.0,66.4,59.0,62.1,2023,24
25,Canada,66.1,33.4,50.4,64.2,62.8,102.1,2023,25
26,Austria,66.0,23.1,45.4,58.0,63.5,91.2,2023,26
27,Lebanon,65.8,19.2,43.5,65.3,48.0,22.7,2023,27
28,Belgium,65.6,22.4,44.9,54.5,69.0,94.5,2023,28
29,Japan,64.6,20.8,43.6,66.5,37.9,100.4,2023,29
30,Germany,62.9,26.1,45.3,50.9,56.2,107.6,2023,30
31,Sweden,62.9,22.7,43.6,55.2,64.3,101.2,2023,30
33,United Kingdom,61.5,30.3,46.6,47.7,67.9,98.9,2023,33
34,Malta,61.4,25.7,44.3,52.0,64.7,50.6,2023,34
35,Italy,61.3,20.5,41.7,51.9,61.9,66.5,2023,35
36,United Arab Emirates,60.3,34.0,47.6,46.6,56.6,123.4,2023,36
37,Uruguay,59.9,15.9,38.8,48.1,59.5,38.4,2023,37
38,Qatar,59.5,50.0,54.9,47.7,58.3,123.6,2023,38
40,Cyprus,55.9,27.4,42.2,45.0,55.0,54.8,2023,40
43,Estonia,54.8,16.4,36.4,42.4,55.1,61.4,2023,43
44,Greece,54.6,12.9,34.6,42.4,50.1,41.9,2023,44
46,Jamaica,53.6,13.6,34.4,55.1,37.1,28.9,2023,46
47,Trinidad And Tobago,53.3,13.7,34.3,51.5,50.4,38.9,2023,47
48,Bahrain,52.7,25.4,39.6,40.9,47.3,81.7,2023,48
50,Latvia,50.9,10.9,31.7,40.2,43.7,52.9,2023,50
51,Slovenia,50.8,16.6,34.4,43.9,43.6,61.7,2023,51
52,Palestine,50.7,9.6,31.0,43.7,37.5,39.8,2023,52
53,Spain,50.6,21.7,36.7,41.0,51.5,82.5,2023,53
54,Saudi Arabia,50.6,12.0,32.1,41.7,38.0,101.9,2023,53
55,Czech Republic,48.9,19.1,34.7,40.7,36.6,71.8,2023,55
56,Costa Rica,48.8,14.9,32.5,46.7,41.4,41.5,2023,56
57,Lithuania,48.8,16.8,33.4,39.0,48.1,56.7,2023,56
58,Panama,48.2,19.7,34.5,46.0,41.4,36.4,2023,58
60,Oman,47.8,15.8,32.5,42.6,40.1,108.2,2023,60
62,Kuwait,46.8,27.1,37.4,32.9,42.2,96.7,2023,62
63,Jordan,46.8,8.8,28.6,38.7,40.6,38.0,2023,62
64,Croatia,46.7,12.2,30.2,39.5,39.5,56.2,2023,64
66,Portugal,45.3,21.9,34.1,36.0,38.7,51.7,2023,66
67,Cambodia,44.5,13.8,29.8,43.9,26.2,15.5,2023,67
68,Slovakia,44.2,14.9,30.2,40.0,33.6,56.3,2023,68
69,Chile,44.1,13.4,29.4,39.9,42.4,37.3,2023,69
70,El Salvador,43.3,14.8,29.6,43.5,31.3,22.7,2023,70
73,Mauritius,42.2,10.9,27.2,41.6,32.3,30.8,2023,73
74,Dominican Republic,41.8,11.9,27.5,36.8,33.9,23.0,2023,74
76,Russia,40.8,12.8,27.4,33.4,39.2,40.9,2023,77
77,Armenia,40.8,23.5,32.5,34.3,36.1,25.5,2023,77
78,Zimbabwe,40.8,11.5,26.7,35.0,32.5,18.7,2023,77
79,Thailand,40.7,13.3,27.6,42.0,21.0,33.2,2023,79
80,Bulgaria,40.5,10.0,25.9,35.7,35.8,51.2,2023,80
81,Guatemala,40.2,13.8,27.5,38.9,28.5,29.7,2023,81
82,Hungary,39.2,11.6,26.0,34.8,32.3,53.1,2023,82
83,China,39.2,18.8,29.4,41.0,27.0,62.3,2023,82
84,Georgia,38.9,19.3,29.5,33.9,36.7,25.9,2023,84
85,Montenegro,38.9,13.5,26.7,32.4,32.9,40.4,2023,84
86,Honduras,38.8,9.3,24.7,33.1,26.2,35.4,2023,86
87,Poland,38.6,16.0,27.8,30.8,34.0,64.0,2023,87
89,South Africa,37.8,14.0,26.4,30.1,34.8,83.9,2023,89
90,Albania,37.4,9.1,23.9,31.3,26.5,30.1,2023,90
91,Romania,37.4,9.9,24.2,32.0,33.0,52.5,2023,90
92,Mexico,37.3,12.8,25.5,36.6,34.0,43.5,2023,92
93,Serbia,37.2,10.6,24.4,30.6,30.2,39.6,2023,93
96,Vietnam,35.7,11.2,24.0,35.9,18.1,31.5,2023,96
97,Belarus,35.4,10.0,23.2,31.0,37.2,36.4,2023,97
98,Iran,35.2,14.6,25.3,26.2,24.6,21.1,2023,98
99,Bosnia And Herzegovina,35.1,5.9,21.1,30.8,21.8,48.6,2023,99
100,Ecuador,35.1,9.7,22.9,31.9,26.6,37.0,2023,99
101,Malaysia,35.0,9.8,22.9,36.7,20.5,65.7,2023,101
102,Brazil,34.7,8.3,22.1,29.3,26.4,28.7,2023,102
104,Philippines,34.0,9.8,22.4,33.4,20.9,22.4,2023,104
107,Peru,32.4,11.1,22.2,29.4,22.3,31.3,2023,107
108,Kenya,32.4,7.8,20.6,29.8,27.0,32.8,2023,107
109,Moldova,32.3,8.3,20.8,26.8,27.7,33.1,2023,109
111,Bolivia,31.9,8.2,20.5,27.8,23.4,37.4,2023,111
112,Iraq,31.4,9.2,20.8,26.6,25.1,44.5,2023,112
113,North Macedonia,31.4,5.7,19.1,27.1,21.3,38.2,2023,112
115,Argentina,31.2,6.9,19.5,25.7,26.8,36.8,2023,115
116,Indonesia,31.2,8.3,20.2,33.1,16.0,27.5,2023,115
117,Nigeria,30.9,33.3,32.0,32.4,22.2,8.4,2023,117
118,Tanzania,30.8,9.9,20.8,28.4,21.9,20.5,2023,118
120,Morocco,29.3,7.5,18.8,25.4,19.7,33.6,2023,120
121,Azerbaijan,28.9,7.5,18.7,25.4,26.9,32.0,2023,121
124,Kazakhstan,28.1,11.5,20.2,25.0,26.4,38.1,2023,124
125,Turkey,28.1,7.2,18.1,23.2,18.3,31.0,2023,124
126,Algeria,27.6,4.3,16.5,30.1,13.6,26.9,2023,126
128,Ghana,26.7,14.6,20.9,26.5,23.6,17.2,2023,128
129,Bangladesh,26.6,3.2,15.4,25.2,16.6,26.9,2023,129
130,Tunisia,26.5,5.0,16.2,25.6,14.4,30.0,2023,130
133,Ukraine,25.6,8.1,17.2,22.2,21.2,38.1,2023,133
134,Sri Lanka,25.3,5.4,15.8,31.0,12.0,16.0,2023,134
135,Nepal,24.8,3.7,14.7,22.8,17.3,21.8,2023,135
137,Colombia,23.1,7.0,15.4,21.0,17.3,31.1,2023,137
138,India,22.4,5.5,14.3,23.3,15.7,64.6,2023,138
139,Egypt,21.6,4.3,13.3,19.6,18.0,21.9,2023,139
140,Pakistan,18.0,3.4,11.0,15.4,13.7,24.4,2023,140
2,Switzerland,112.2,52.8,84.0,116.7,104.1,118.9,2024,2
5,Bahamas,88.5,41.8,66.3,80.5,80.4,38.0,2024,5
6,Iceland,85.7,41.0,64.5,86.5,88.0,109.1,2024,6
7,Singapore,81.9,71.9,77.1,75.0,55.3,103.0,2024,7
9,Norway,79.2,27.8,54.8,77.5,75.9,94.9,2024,9
10,Denmark,75.2,28.6,53.1,65.0,82.6,103.3,2024,10
12,United States,72.9,44.7,59.5,74.2,68.4,120.9,2024,12
13,Australia,72.8,36.6,55.6,73.9,66.9,93.6,2024,13
15,Canada,68.4,36.0,53.1,70.7,64.0,83.3,2024,15
16,New Zealand,68.2,28.8,49.5,71.7,58.8,93.0,2024,16
18,Israel,67.2,31.2,50.1,60.2,71.9,79.5,2024,18
19,Austria,66.8,23.7,46.4,64.8,59.0,84.4,2024,19
20,Ireland,66.5,47.3,57.4,58.9,65.9,82.0,2024,20
21,France,66.0,22.3,45.3,68.6,57.9,83.4,2024,21
22,Finland,65.5,20.8,44.3,61.6,63.8,97.3,2024,22
23,Luxembourg,65.3,42.4,54.4,65.1,69.4,148.9,2024,23
24,Puerto Rico,64.4,25.3,45.9,64.1,50.3,77.1,2024,24
25,South Korea,64.4,17.1,42.0,83.1,32.4,90.6,2024,24
26,Netherlands,64.3,34.5,50.2,57.4,61.0,103.3,2024,26
27,United Kingdom,63.7,33.5,49.4,55.5,63.9,90.1,2024,27
28,Belgium,63.0,21.4,43.3,56.1,67.8,90.7,2024,28
29,Germany,62.7,26.3,45.4,57.6,52.5,101.0,2024,29
30,Sweden,62.2,23.1,43.6,61.8,56.1,94.6,2024,30
32,Italy,58.9,21.1,41.0,56.8,55.0,62.8,2024,32
33,United Arab Emirates,57.8,46.9,52.6,45.0,50.0,98.7,2024,33
34,Cyprus,57.1,25.0,41.8,49.3,54.0,59.4,2024,34
37,Uruguay,55.3,15.2,36.3,50.3,50.4,47.0,2024,37
38,Malta,55.1,25.3,40.9,49.9,57.5,58.3,2024,38
39,Qatar,55.0,40.4,48.1,44.3,49.5,127.4,2024,39
40,Greece,54.2,13.6,34.9,47.9,52.9,42.1,2024,40
41,Bahrain,53.7,22.6,39.0,46.4,43.4,83.6,2024,41
42,Costa Rica,53.6,16.5,36.0,54.2,44.1,37.0,2024,42
43,Trinidad And Tobago,53.6,13.3,34.5,53.9,44.6,35.4,2024,42
44,Jamaica,53.1,13.4,34.3,57.2,38.4,28.1,2024,44
45,Estonia,53.0,15.5,35.2,45.2,48.8,69.0,2024,45
46,Latvia,51.4,11.7,32.6,42.6,46.2,51.9,2024,46
47,Japan,50.7,15.1,33.8,55.4,30.9,99.5,2024,47
50,Slovenia,49.3,17.0,34.0,46.3,41.2,68.0,2024,50
52,Czech Republic,48.6,21.0,35.5,44.1,34.5,64.9,2024,52
53,Lithuania,48.4,15.8,32.9,43.6,45.1,61.8,2024,53
54,Spain,48.4,23.6,36.6,45.1,44.0,78.2,2024,53
56,Slovakia,47.9,15.1,32.4,45.1,35.5,55.8,2024,56
57,Panama,47.4,21.5,35.1,46.4,43.2,34.7,2024,57
58,Saudi Arabia,47.4,12.2,30.7,40.8,32.9,105.1,2024,57
59,Croatia,46.9,14.5,31.5,42.6,42.6,58.0,2024,59
60,Portugal,46.6,25.4,36.5,42.9,37.9,46.5,2024,60
61,Lebanon,46.3,16.5,32.2,33.4,37.8,20.7,2024,61
65,Oman,44.4,13.3,29.7,39.5,33.5,109.6,2024,65
67,Mexico,43.8,17.0,31.1,45.6,36.7,38.0,2024,67
68,Kuwait,43.4,24.3,34.4,33.8,36.9,128.5,2024,68
69,Hungary,43.4,11.3,28.2,39.5,36.7,49.8,2024,68
70,Palestine,43.3,8.4,26.8,40.6,27.4,37.4,2024,70
72,Jordan,43.0,7.6,26.2,36.9,35.8,36.4,2024,72
74,Poland,41.9,19.2,31.1,35.9,35.7,66.2,2024,74
75,El Salvador,41.1,16.8,29.6,42.7,30.5,22.2,2024,75
76,Montenegro,40.9,16.6,29.4,36.3,35.6,41.8,2024,76
77,Albania,40.8,10.2,26.3,39.4,31.0,31.6,2024,77
78,Chile,39.9,11.5,26.4,40.6,35.1,36.4,2024,78
79,Mauritius,39.8,11.0,26.2,41.4,27.1,32.8,2024,79
83,Dominican Republic,39.0,11.2,25.8,36.6,33.2,23.5,2024,83
84,Romania,38.8,10.6,25.4,36.4,35.0,48.4,2024,84
85,Bulgaria,38.7,9.9,25.1,37.6,32.8,52.6,2024,85
86,Armenia,38.6,19.5,29.5,34.1,36.2,32.1,2024,86
88,Cambodia,38.5,10.2,25.1,41.6,22.2,16.9,2024,88
89,Serbia,38.3,12.7,26.2,35.0,30.4,39.6,2024,89
90,Guatemala,37.7,12.9,25.9,39.1,27.9,29.7,2024,90
91,Honduras,37.3,10.3,24.5,36.6,26.5,35.1,2024,91
92,Georgia,37.2,15.5,26.9,35.7,34.5,27.9,2024,92
93,Zimbabwe,37.0,10.1,24.2,33.4,26.1,21.5,2024,93
94,Thailand,36.0,12.4,24.8,41.0,18.4,32.9,2024,94
95,Brazil,35.2,9.0,22.8,32.4,26.0,30.1,2024,95
97,Bosnia And Herzegovina,34.7,5.7,21.0,32.7,22.0,47.1,2024,97
98,Moldova,34.6,9.8,22.8,31.0,26.6,35.2,2024,98
99,China,34.1,13.4,24.3,37.6,21.0,60.5,2024,99
100,North Macedonia,34.1,6.8,21.1,31.2,22.8,37.0,2024,99
101,Turkey,33.8,13.2,24.0,30.3,25.8,39.3,2024,101
102,South Africa,33.8,11.8,23.4,27.6,28.7,84.7,2024,101
103,Ecuador,33.6,8.9,21.9,34.0,24.8,36.4,2024,104
104,Philippines,33.6,8.3,21.6,35.2,17.9,25.9,2024,104
106,Kazakhstan,33.5,13.6,24.0,31.9,29.7,36.8,2024,106
107,Sri Lanka,33.2,6.0,20.3,44.6,16.7,14.4,2024,107
110,Azerbaijan,31.1,8.1,20.2,28.4,30.1,29.4,2024,110
111,Peru,30.9,9.7,20.8,30.7,21.4,27.3,2024,111
113,Vietnam,30.8,9.7,20.8,34.6,14.9,32.5,2024,112
114,Colombia,30.6,8.8,20.3,30.6,20.9,28.1,2024,114
115,Malaysia,30.5,8.2,19.9,35.4,18.3,62.1,2024,115
117,Iraq,30.2,8.2,19.8,27.4,20.7,42.0,2024,117
119,Morocco,29.9,7.8,19.4,28.8,19.3,30.4,2024,119
120,Algeria,29.5,4.1,17.5,35.6,13.1,25.4,2024,120
121,Russia,29.5,9.9,20.2,25.9,26.2,41.5,2024,120
122,Egypt,29.1,5.5,17.9,27.8,21.7,15.2,2024,122
124,Tunisia,28.7,5.0,17.4,30.0,15.2,25.7,2024,124
125,Ukraine,28.6,8.5,19.0,26.6,22.2,32.2,2024,125
126,Indonesia,28.5,8.3,18.9,33.6,14.4,25.8,2024,126
127,Bolivia,28.3,7.4,18.4,25.9,19.7,32.3,2024,127
128,Argentina,27.8,6.8,17.8,25.6,23.6,35.8,2024,128
131,Belarus,27.1,8.2,18.2,24.4,25.3,39.6,2024,130
132,Nepal,26.9,4.0,16.1,24.8,17.6,20.3,2024,133
133,Iran,26.9,8.9,18.4,21.5,16.5,21.2,2024,133
136,Tanzania,26.0,8.0,17.5,25.8,20.3,21.6,2024,136
137,Ghana,26.0,11.0,18.8,27.2,22.9,14.8,2024,136
140,Bangladesh,24.9,2.7,14.4,26.6,14.0,25.8,2024,140
141,Kenya,24.8,7.1,16.4,23.8,18.3,30.6,2024,141
143,India,22.2,6.2,14.6,23.5,15.6,60.7,2024,143
145,Nigeria,19.3,15.4,17.4,21.4,13.3,9.4,2024,145
146,Pakistan,18.5,2.9,11.1,16.4,12.7,24.5,2024,146
2,Switzerland,98.4,45.2,74.8,103.1,98.4,159.7,2025,1
3,Iceland,83.4,43.7,65.9,90.3,94.7,123.5,2025,3
4,Bahamas,81.4,46.9,66.1,79.1,94.5,58.4,2025,4
5,Singapore,79.1,67.0,73.7,70.8,53.5,93.8,2025,5
8,Norway,69.0,24.8,49.4,71.9,74.6,119.5,2025,8
10,Denmark,66.9,25.7,48.6,61.0,80.8,133.6,2025,10
12,Israel,65.2,27.1,48.3,61.2,74.5,110.0,2025,12
13,United States,64.9,40.9,54.3,71.7,69.3,146.2,2025,13
14,Luxembourg,64.8,42.2,54.8,65.3,72.8,177.1,2025,14
15,Australia,60.9,29.8,47.1,67.9,59.2,135.4,2025,15
16,Austria,60.7,22.0,43.6,62.2,59.7,107.1,2025,16
17,Netherlands,60.5,32.1,47.9,56.8,67.7,129.9,2025,17
18,Ireland,59.8,39.0,50.6,56.9,65.8,108.9,2025,18
19,United Kingdom,59.2,30.0,46.3,54.8,65.3,119.9,2025,19
20,Puerto Rico,58.7,19.9,41.5,63.1,53.4,111.0,2025,21
21,Finland,58.7,19.1,41.1,59.4,64.7,124.5,2025,21
22,Canada,58.7,30.3,46.1,65.3,59.9,109.1,2025,21
23,Germany,58.4,22.4,42.4,56.7,57.5,127.1,2025,23
24,France,58.0,19.4,41.0,63.6,56.1,110.0,2025,24
26,South Korea,56.5,15.1,38.2,74.5,32.8,105.0,2025,26
27,Belgium,56.5,19.3,40.1,54.6,67.1,116.1,2025,26
28,New Zealand,55.3,23.4,41.2,62.2,53.8,130.5,2025,28
29,Sweden,54.2,19.1,38.7,55.5,56.0,130.3,2025,29
30,United Arab Emirates,54.1,39.7,47.8,42.4,59.9,128.3,2025,30
31,Italy,51.0,17.7,36.3,53.5,53.0,85.1,2025,31
32,Jamaica,50.3,17.7,35.9,59.6,42.8,36.4,2025,32
33,Costa Rica,50.1,18.5,36.1,56.2,47.8,50.9,2025,33
34,Cyprus,49.5,24.0,38.2,47.0,52.7,80.4,2025,34
35,Estonia,49.4,14.1,33.8,45.1,54.0,84.2,2025,35
36,Trinidad And Tobago,48.9,13.7,33.3,54.1,45.2,46.1,2025,36
38,Bahrain,48.3,20.4,36.0,46.2,47.6,117.5,2025,38
39,Malta,48.0,23.3,37.1,48.1,55.1,75.3,2025,39
40,Qatar,47.5,34.4,41.7,42.2,46.4,177.9,2025,40
41,Greece,46.5,11.8,31.1,44.4,51.1,59.5,2025,41
42,Uruguay,46.3,12.5,31.3,46.5,49.5,54.1,2025,42
43,Slovenia,46.2,18.9,34.1,45.8,43.9,83.6,2025,43
44,Japan,45.6,14.1,31.6,54.5,29.4,119.8,2025,44
48,Lithuania,44.0,14.4,30.9,40.1,49.1,79.8,2025,48
49,Panama,43.9,22.5,34.4,49.6,41.9,46.3,2025,49
50,Spain,43.5,21.2,33.6,43.0,46.1,98.1,2025,50
51,Latvia,43.4,10.0,28.6,40.6,43.2,75.8,2025,51
52,Croatia,43.2,14.5,30.5,40.9,46.8,78.8,2025,52
54,Czech Republic,42.6,17.6,31.5,41.0,35.3,88.5,2025,54
55,Slovakia,42.1,14.1,29.7,43.1,35.7,74.0,2025,55
56,Saudi Arabia,41.9,11.5,28.4,40.2,33.9,146.1,2025,56
58,Portugal,41.2,22.2,32.8,40.5,38.4,59.7,2025,58
60,Kuwait,40.4,21.9,32.2,33.7,40.8,174.0,2025,60
61,Albania,39.9,11.7,27.4,40.4,38.2,42.7,2025,61
62,Oman,39.8,12.0,27.5,38.9,38.4,150.3,2025,62
63,Armenia,39.6,17.6,29.9,34.5,42.3,37.6,2025,63
64,Palestine,39.5,7.8,25.5,41.0,32.8,48.9,2025,64
67,Poland,38.9,16.1,28.8,34.7,39.5,91.4,2025,66
68,Lebanon,38.8,13.6,27.7,31.2,40.9,35.1,2025,68
71,El Salvador,37.9,15.6,28.0,42.8,32.4,33.8,2025,71
72,Jordan,37.2,7.7,24.1,35.3,37.2,51.7,2025,72
73,Guatemala,36.8,12.6,26.1,41.7,34.8,38.6,2025,73
74,Hungary,36.6,11.1,25.3,35.4,36.2,70.7,2025,74
75,Montenegro,36.3,14.9,26.8,34.7,37.7,56.8,2025,75
77,Serbia,35.9,12.2,25.4,34.1,35.5,57.6,2025,77
79,Argentina,35.7,9.9,24.3,37.0,39.8,41.1,2025,79
80,Mauritius,35.6,9.7,24.1,39.1,29.9,49.4,2025,80
81,Bulgaria,35.4,10.1,24.2,36.7,36.7,74.4,2025,81
82,Chile,35.1,10.6,24.3,38.1,36.8,51.0,2025,82
83,Zimbabwe,34.7,8.5,23.1,33.9,33.2,29.6,2025,83
84,Turkey,34.7,12.8,25.0,35.6,34.1,51.2,2025,83
86,Honduras,34.6,10.2,23.8,39.0,31.5,42.5,2025,85
87,Mexico,34.5,14.1,25.4,38.2,36.0,46.9,2025,87
88,Dominican Republic,34.3,9.8,23.5,36.2,33.3,31.4,2025,88
89,Romania,34.0,9.6,23.2,33.9,35.7,73.1,2025,89
90,Cambodia,33.9,9.4,23.0,40.9,24.4,26.7,2025,90
92,Thailand,33.7,11.9,24.1,40.5,21.4,46.0,2025,92
93,Sri Lanka,33.5,6.3,21.5,49.9,23.3,18.2,2025,93
95,Tanzania,31.8,8.8,21.6,27.1,22.0,22.1,2025,95
96,Bosnia And Herzegovina,31.6,6.1,20.3,32.9,24.1,63.3,2025,96
97,Moldova,30.8,12.6,22.7,29.5,27.2,46.3,2025,97
98,China,30.7,11.6,22.2,34.2,21.8,77.9,2025,98
99,Ghana,30.6,12.1,22.4,33.3,30.1,16.7,2025,99
101,Georgia,30.4,12.8,22.6,31.2,33.5,39.6,2025,101
102,North Macedonia,30.3,6.8,19.9,30.2,24.7,59.7,2025,102
103,Ecuador,30.0,8.0,20.3,33.2,27.1,45.6,2025,103
104,South Africa,30.0,11.1,21.6,27.5,29.3,111.2,2025,103
105,Malaysia,29.7,8.1,20.1,37.3,22.1,83.8,2025,105
106,Azerbaijan,29.5,9.0,20.4,28.3,33.1,41.4,2025,106
107,Peru,29.4,9.2,20.5,32.4,25.3,38.2,2025,107
109,Philippines,28.8,6.9,19.1,34.3,19.0,37.3,2025,109
110,Kenya,28.2,7.6,19.1,30.2,25.0,35.1,2025,110
111,Morocco,27.2,7.1,18.3,28.8,22.2,41.7,2025,111
112,Iraq,26.9,7.3,18.2,27.9,22.9,54.5,2025,112
113,Vietnam,26.6,9.2,18.9,32.1,16.8,42.3,2025,113
114,Kazakhstan,26.6,10.5,19.4,27.4,28.0,50.8,2025,113
115,Nigeria,26.4,21.8,24.4,31.8,21.6,10.6,2025,115
117,Colombia,26.0,8.1,18.1,27.7,22.9,36.0,2025,116
119,Brazil,25.6,7.2,17.4,25.9,22.5,42.3,2025,119
120,Tunisia,25.5,4.6,16.3,31.0,16.1,34.7,2025,120
122,Bolivia,25.2,8.3,17.7,25.9,22.4,43.9,2025,122
123,Belarus,25.0,8.7,17.8,24.7,27.5,54.7,2025,123
124,Indonesia,24.6,7.7,17.1,32.5,15.2,33.9,2025,124
125,Ukraine,24.6,7.8,17.1,25.2,21.9,46.3,2025,124
126,Algeria,24.5,3.4,15.2,33.2,14.5,34.5,2025,126
128,Iran,23.6,8.5,16.9,20.8,16.9,28.4,2025,128
131,Nepal,23.0,3.0,14.1,24.0,18.7,29.0,2025,130
132,Russia,22.3,7.5,15.8,21.8,21.8,56.2,2025,132
133,Bangladesh,20.9,2.4,12.7,25.2,15.4,35.6,2025,133
136,India,19.5,5.0,13.1,22.5,16.6,82.2,2025,136
137,Egypt,19.0,3.5,12.2,19.7,18.2,21.1,2025,137
139,Pakistan,17.8,2.9,11.2,17.2,15.0,30.5,2025,139
