rank,country,crime_index,safety_index,year,safety_tier,crime_yoy
65,United Kingdom,46.9,53.1,2023,Moderate,0.3999999999999986
63,United Kingdom,47.4,52.6,2024,Moderate,0.5
61,United Kingdom,48.3,51.7,2025,Moderate,0.8999999999999986
42,United States,48.9,51.1,2016,Moderate,
53,United States,48.8,51.2,2017,Moderate,-0.10000000000000142
35,United States,49.6,50.4,2018,Moderate,0.8000000000000043
45,United States,47.1,52.9,2019,Moderate,-2.5
50,United States,47.2,52.8,2020,Moderate,0.10000000000000142
56,United States,47.7,52.3,2021,Moderate,0.5
57,United States,48.2,51.8,2022,Moderate,0.5
55,United States,49.0,51.0,2023,Moderate,0.7999999999999972
58,United States,49.3,50.7,2024,Moderate,0.29999999999999716
59,United States,49.2,50.8,2025,Moderate,-0.09999999999999432
33,Uruguay,53.1,46.9,2016,Moderate,
40,Uruguay,51.6,48.4,2017,Moderate,-1.5
29,Uruguay,51.8,48.2,2018,Moderate,0.19999999999999574
31,Uruguay,52.0,48.0,2019,Moderate,0.20000000000000284
35,Uruguay,53.8,46.2,2020,Moderate,1.7999999999999972
44,Uruguay,51.2,48.8,2021,Moderate,-2.5999999999999943
49,Uruguay,51.4,48.6,2022,Moderate,0.19999999999999574
47,Uruguay,52.7,47.3,2023,Moderate,1.3000000000000043
49,Uruguay,52.2,47.8,2024,Moderate,-0.5
50,Uruguay,52.0,48.0,2025,Moderate,-0.20000000000000284
23,Us Virgin Islands,60.9,39.1,2022,Unsafe,
24,Us Virgin Islands,60.9,39.1,2023,Unsafe,0.0
23,Us Virgin Islands,62.1,37.9,2024,Unsafe,1.2000000000000028
29,Us Virgin Islands,59.9,40.1,2025,Moderate,-2.200000000000003
96,Uzbekistan,34.7,65.3,2021,Safe,
105,Uzbekistan,33.8,66.2,2022,Safe,-0.9000000000000057
104,Uzbekistan,33.5,66.5,2023,Safe,-0.29999999999999716
118,Uzbekistan,30.5,69.5,2024,Safe,-3.0
121,Uzbekistan,27.9,72.1,2025,Very Safe,-2.6000000000000014
1,Venezuela,84.4,15.6,2016,Very Unsafe,
1,Venezuela,85.3,14.7,2017,Very Unsafe,0.8999999999999915
1,Venezuela,82.6,17.4,2018,Very Unsafe,-2.700000000000003
1,Venezuela,83.2,16.8,2019,Very Unsafe,0.6000000000000085
1,Venezuela,84.5,15.5,2020,Very Unsafe,1.2999999999999972
1,Venezuela,84.2,15.8,2021,Very Unsafe,-0.29999999999999716
1,Venezuela,83.6,16.4,2022,Very Unsafe,-0.6000000000000085
1,Venezuela,82.6,17.4,2023,Very Unsafe,-1.0
1,Venezuela,81.2,18.8,2024,Very Unsafe,-1.3999999999999915
1,Venezuela,80.7,19.3,2025,Very Unsafe,-0.5
30,Vietnam,55.7,44.3,2016,Moderate,
37,Vietnam,53.0,47.0,2017,Moderate,-2.700000000000003
28,Vietnam,52.2,47.8,2018,Moderate,-0.7999999999999972
42,Vietnam,48.8,51.2,2019,Moderate,-3.4000000000000057
58,Vietnam,45.3,54.7,2020,Moderate,-3.5
63,Vietnam,46.1,53.9,2021,Moderate,0.8000000000000043
72,Vietnam,45.8,54.2,2022,Moderate,-0.30000000000000426
80,Vietnam,44.5,55.5,2023,Safe,-1.2999999999999972
87,Vietnam,42.2,57.8,2024,Safe,-2.299999999999997
94,Vietnam,40.8,59.2,2025,Safe,-1.4000000000000057
9,Yemen,68.6,31.4,2024,Unsafe,
18,Yemen,63.7,36.3,2025,Unsafe,-4.8999999999999915
74,Zambia,43.2,56.8,2021,Safe,
69,Zambia,46.3,53.7,2022,Moderate,3.0999999999999943
56,Zambia,48.8,51.2,2023,Moderate,2.5
73,Zambia,46.4,53.6,2024,Moderate,-2.3999999999999986
74,Zambia,45.6,54.4,2025,Moderate,-0.7999999999999972
20,Zimbabwe,60.0,40.0,2016,Moderate,
36,Zimbabwe,53.5,46.5,2017,Moderate,-6.5
23,Zimbabwe,54.6,45.4,2018,Moderate,1.1000000000000014
33,Zimbabwe,51.8,48.2,2019,Moderate,-2.8000000000000043
31,Zimbabwe,57.5,42.5,2020,Moderate,5.700000000000003
24,Zimbabwe,58.9,41.1,2021,Moderate,1.3999999999999986
26,Zimbabwe,59.7,40.3,2022,Moderate,0.8000000000000043
26,Zimbabwe,60.5,39.5,2023,Unsafe,0.7999999999999972
28,Zimbabwe,60.9,39.1,2024,Unsafe,0.3999999999999986
25,Zimbabwe,60.7,39.3,2025,Unsafe,-0.19999999999999574
